identifier	universe	class_name	accession	pfam_accession	model_name
confirmatory::A0A5C1J0Z8	confirmatory	negative	A0A5C1J0Z8	PF00031.26	Cystatin
confirmatory::A0A6B9KZ52	confirmatory	negative	A0A6B9KZ52	PF00031.26	Cystatin
confirmatory::A0A6B9L8T7	confirmatory	negative	A0A6B9L8T7	PF00031.26	Cystatin
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF00326.26	Peptidase_S9
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF00561.25	Abhydrolase_1
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF01738.23	DLH
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF02129.23	Peptidase_S15
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF06500.16	FrsA-like
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF08840.16	BAAT_C
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF12146.13	Hydrolase_4
confirmatory::A0A6F8RQ06	confirmatory	negative	A0A6F8RQ06	PF12697.12	Abhydrolase_6
confirmatory::A0A7H0DN13	confirmatory	negative	A0A7H0DN13	PF00079.25	Serpin
confirmatory::A0A7N9VSG0	confirmatory	negative	A0A7N9VSG0	PF00004.34	AAA
confirmatory::A0A7N9VSG0	confirmatory	negative	A0A7N9VSG0	PF00004.34	AAA
confirmatory::A0A7N9VSG0	confirmatory	negative	A0A7N9VSG0	PF17862.6	AAA_lid_3
confirmatory::A0A7N9VSG0	confirmatory	negative	A0A7N9VSG0	PF17862.6	AAA_lid_3
confirmatory::A0A8I6AGW3	confirmatory	negative	A0A8I6AGW3	PF00004.34	AAA
confirmatory::A0A8J8	confirmatory	negative	A0A8J8	PF00147.23	Fibrinogen_C
confirmatory::A0A976SLN7	confirmatory	positive	A0A976SLN7	PF00321.22	Thionin
confirmatory::A0AB36VXQ9	confirmatory	negative	A0AB36VXQ9	PF00149.33	Metallophos
confirmatory::A0AT28	confirmatory	negative	A0AT28	PF00234.27	Tryp_alpha_amyl
confirmatory::A0AT28	confirmatory	negative	A0AT28	PF14368.11	LTP_2
confirmatory::A0AT29	confirmatory	negative	A0AT29	PF00234.27	Tryp_alpha_amyl
confirmatory::A0AT29	confirmatory	negative	A0AT29	PF14368.11	LTP_2
confirmatory::A0AT30	confirmatory	negative	A0AT30	PF00234.27	Tryp_alpha_amyl
confirmatory::A0AT30	confirmatory	negative	A0AT30	PF14368.11	LTP_2
confirmatory::A0AT31	confirmatory	negative	A0AT31	PF00234.27	Tryp_alpha_amyl
confirmatory::A0AT31	confirmatory	negative	A0AT31	PF14368.11	LTP_2
confirmatory::A0AT32	confirmatory	negative	A0AT32	PF00234.27	Tryp_alpha_amyl
confirmatory::A0AT32	confirmatory	negative	A0AT32	PF14368.11	LTP_2
confirmatory::A0AT33	confirmatory	negative	A0AT33	PF00234.27	Tryp_alpha_amyl
confirmatory::A0AT33	confirmatory	negative	A0AT33	PF14368.11	LTP_2
confirmatory::A0JRH2	confirmatory	negative	A0JRH2	PF00547.23	Urease_gamma
confirmatory::A0JRH4	confirmatory	negative	A0JRH4	PF00449.25	Urease_alpha
confirmatory::A0JRH4	confirmatory	negative	A0JRH4	PF01979.25	Amidohydro_1
confirmatory::A0JRH4	confirmatory	negative	A0JRH4	PF07969.16	Amidohydro_3
confirmatory::A0K576	confirmatory	negative	A0K576	PF00449.25	Urease_alpha
confirmatory::A0K576	confirmatory	negative	A0K576	PF01979.25	Amidohydro_1
confirmatory::A0K576	confirmatory	negative	A0K576	PF07969.16	Amidohydro_3
confirmatory::A0K578	confirmatory	negative	A0K578	PF00547.23	Urease_gamma
confirmatory::A0KF11	confirmatory	negative	A0KF11	PF00561.25	Abhydrolase_1
confirmatory::A0KF11	confirmatory	negative	A0KF11	PF12146.13	Hydrolase_4
confirmatory::A0KF11	confirmatory	negative	A0KF11	PF12697.12	Abhydrolase_6
confirmatory::A0L6F2	confirmatory	negative	A0L6F2	PF00449.25	Urease_alpha
confirmatory::A0L6F2	confirmatory	negative	A0L6F2	PF01979.25	Amidohydro_1
confirmatory::A0PSG4	confirmatory	negative	A0PSG4	PF00547.23	Urease_gamma
confirmatory::A0QLI5	confirmatory	positive	A0QLI5	PF01129.23	ART
confirmatory::A0QLI5	confirmatory	positive	A0QLI5	PF03496.19	ADPrib_exo_Tox
confirmatory::A0QNL1	confirmatory	negative	A0QNL1	PF00082.27	Peptidase_S8
confirmatory::A0QYE0	confirmatory	negative	A0QYE0	PF00449.25	Urease_alpha
confirmatory::A0QYE0	confirmatory	negative	A0QYE0	PF01979.25	Amidohydro_1
confirmatory::A0QYE0	confirmatory	negative	A0QYE0	PF07969.16	Amidohydro_3
confirmatory::A0QYE2	confirmatory	negative	A0QYE2	PF00547.23	Urease_gamma
confirmatory::A0ZSK3	confirmatory	positive	A0ZSK3	PF00622.34	SPRY
confirmatory::A0ZSK3	confirmatory	positive	A0ZSK3	PF13765.12	PRY
confirmatory::A0ZSK3	confirmatory	positive	A0ZSK3	PF18078.6	Thioredoxin_11
confirmatory::A0ZSK3	confirmatory	positive	A0ZSK3	PF21109.2	Stonustoxin_helical
confirmatory::A1AGT6	confirmatory	negative	A1AGT6	PF00561.25	Abhydrolase_1
confirmatory::A1AGT6	confirmatory	negative	A1AGT6	PF12146.13	Hydrolase_4
confirmatory::A1AGT6	confirmatory	negative	A1AGT6	PF12697.12	Abhydrolase_6
confirmatory::A1B1C2	confirmatory	negative	A1B1C2	PF00547.23	Urease_gamma
confirmatory::A1BN60	confirmatory	negative	A1BN60	PF00007.27	Cys_knot
confirmatory::A1BN61	confirmatory	negative	A1BN61	PF00007.27	Cys_knot
confirmatory::A1CIA7	confirmatory	negative	A1CIA7	PF00082.27	Peptidase_S8
confirmatory::A1CIA7	confirmatory	negative	A1CIA7	PF05922.21	Inhibitor_I9
confirmatory::A1JKD7	confirmatory	negative	A1JKD7	PF00547.23	Urease_gamma
confirmatory::A1KBB4	confirmatory	negative	A1KBB4	PF00449.25	Urease_alpha
confirmatory::A1KBB4	confirmatory	negative	A1KBB4	PF01979.25	Amidohydro_1
confirmatory::A1KBB7	confirmatory	negative	A1KBB7	PF00547.23	Urease_gamma
confirmatory::A1KJR2	confirmatory	negative	A1KJR2	PF00449.25	Urease_alpha
confirmatory::A1KJR2	confirmatory	negative	A1KJR2	PF01979.25	Amidohydro_1
confirmatory::A1KP32	confirmatory	negative	A1KP32	PF00561.25	Abhydrolase_1
confirmatory::A1R1C3	confirmatory	negative	A1R1C3	PF00547.23	Urease_gamma
confirmatory::A1R1C5	confirmatory	negative	A1R1C5	PF00449.25	Urease_alpha
confirmatory::A1R1C5	confirmatory	negative	A1R1C5	PF01979.25	Amidohydro_1
confirmatory::A1R1C5	confirmatory	negative	A1R1C5	PF07969.16	Amidohydro_3
confirmatory::A1SYX9	confirmatory	negative	A1SYX9	PF00547.23	Urease_gamma
confirmatory::A1SYY1	confirmatory	negative	A1SYY1	PF00449.25	Urease_alpha
confirmatory::A1SYY1	confirmatory	negative	A1SYY1	PF01979.25	Amidohydro_1
confirmatory::A1T9N4	confirmatory	negative	A1T9N4	PF00449.25	Urease_alpha
confirmatory::A1T9N4	confirmatory	negative	A1T9N4	PF01979.25	Amidohydro_1
confirmatory::A1T9N4	confirmatory	negative	A1T9N4	PF07969.16	Amidohydro_3
confirmatory::A1T9N6	confirmatory	negative	A1T9N6	PF00547.23	Urease_gamma
confirmatory::A1TSZ3	confirmatory	negative	A1TSZ3	PF00547.23	Urease_gamma
confirmatory::A1TSZ6	confirmatory	negative	A1TSZ6	PF00449.25	Urease_alpha
confirmatory::A1TSZ6	confirmatory	negative	A1TSZ6	PF01979.25	Amidohydro_1
confirmatory::A1TSZ6	confirmatory	negative	A1TSZ6	PF07969.16	Amidohydro_3
confirmatory::A1TY14	confirmatory	negative	A1TY14	PF00561.25	Abhydrolase_1
confirmatory::A1U4Z8	confirmatory	negative	A1U4Z8	PF00449.25	Urease_alpha
confirmatory::A1U4Z8	confirmatory	negative	A1U4Z8	PF01979.25	Amidohydro_1
confirmatory::A1U500	confirmatory	negative	A1U500	PF00547.23	Urease_gamma
confirmatory::A1UGT5	confirmatory	negative	A1UGT5	PF00449.25	Urease_alpha
confirmatory::A1UGT5	confirmatory	negative	A1UGT5	PF01979.25	Amidohydro_1
confirmatory::A1UGT5	confirmatory	negative	A1UGT5	PF07969.16	Amidohydro_3
confirmatory::A1UGT7	confirmatory	negative	A1UGT7	PF00547.23	Urease_gamma
confirmatory::A1V1G6	confirmatory	negative	A1V1G6	PF00449.25	Urease_alpha
confirmatory::A1V1G6	confirmatory	negative	A1V1G6	PF01979.25	Amidohydro_1
confirmatory::A1VKW3	confirmatory	negative	A1VKW3	PF00449.25	Urease_alpha
confirmatory::A1VKW3	confirmatory	negative	A1VKW3	PF01979.25	Amidohydro_1
confirmatory::A1VKW3	confirmatory	negative	A1VKW3	PF07969.16	Amidohydro_3
confirmatory::A1VKW6	confirmatory	negative	A1VKW6	PF00547.23	Urease_gamma
confirmatory::A1VUV0	confirmatory	negative	A1VUV0	PF00561.25	Abhydrolase_1
confirmatory::A1VUV0	confirmatory	negative	A1VUV0	PF06342.17	DUF1057
confirmatory::A1VUV0	confirmatory	negative	A1VUV0	PF12146.13	Hydrolase_4
confirmatory::A1VUV0	confirmatory	negative	A1VUV0	PF12697.12	Abhydrolase_6
confirmatory::A1WIM3	confirmatory	negative	A1WIM3	PF00449.25	Urease_alpha
confirmatory::A1WIM3	confirmatory	negative	A1WIM3	PF01979.25	Amidohydro_1
confirmatory::A1WIM6	confirmatory	negative	A1WIM6	PF00547.23	Urease_gamma
confirmatory::A2AEP0	confirmatory	negative	A2AEP0	PF00061.28	Lipocalin
confirmatory::A2AJB7	confirmatory	negative	A2AJB7	PF00061.28	Lipocalin
confirmatory::A2ATD1	confirmatory	negative	A2ATD1	PF00090.24	TSP_1
confirmatory::A2ATD1	confirmatory	negative	A2ATD1	PF03782.22	AMOP
confirmatory::A2AV25	confirmatory	negative	A2AV25	PF00147.23	Fibrinogen_C
confirmatory::A2BIM8	confirmatory	negative	A2BIM8	PF00061.28	Lipocalin
confirmatory::A2BQW6	confirmatory	negative	A2BQW6	PF00547.23	Urease_gamma
confirmatory::A2BQW8	confirmatory	negative	A2BQW8	PF00449.25	Urease_alpha
confirmatory::A2BQW8	confirmatory	negative	A2BQW8	PF01979.25	Amidohydro_1
confirmatory::A2BQW8	confirmatory	negative	A2BQW8	PF07969.16	Amidohydro_3
confirmatory::A2C4S0	confirmatory	negative	A2C4S0	PF00547.23	Urease_gamma
confirmatory::A2C4S2	confirmatory	negative	A2C4S2	PF00449.25	Urease_alpha
confirmatory::A2C4S2	confirmatory	negative	A2C4S2	PF01979.25	Amidohydro_1
confirmatory::A2CDZ9	confirmatory	negative	A2CDZ9	PF00547.23	Urease_gamma
confirmatory::A2S996	confirmatory	negative	A2S996	PF00449.25	Urease_alpha
confirmatory::A2S996	confirmatory	negative	A2S996	PF01979.25	Amidohydro_1
confirmatory::A2S998	confirmatory	negative	A2S998	PF00547.23	Urease_gamma
confirmatory::A2SDJ0	confirmatory	negative	A2SDJ0	PF00449.25	Urease_alpha
confirmatory::A2SDJ0	confirmatory	negative	A2SDJ0	PF01979.25	Amidohydro_1
confirmatory::A2SDJ2	confirmatory	negative	A2SDJ2	PF00547.23	Urease_gamma
confirmatory::A2VDN5	confirmatory	negative	A2VDN5	PF00004.34	AAA
confirmatory::A2VDN5	confirmatory	negative	A2VDN5	PF09336.15	Vps4_C
confirmatory::A2VDN5	confirmatory	negative	A2VDN5	PF17862.6	AAA_lid_3
confirmatory::A2XBN5	confirmatory	negative	A2XBN5	PF00234.27	Tryp_alpha_amyl
confirmatory::A2XMB2	confirmatory	negative	A2XMB2	PF00234.27	Tryp_alpha_amyl
confirmatory::A2ZAT0	confirmatory	negative	A2ZAT0	PF00234.27	Tryp_alpha_amyl
confirmatory::A2ZAT0	confirmatory	negative	A2ZAT0	PF14368.11	LTP_2
confirmatory::A2ZVG7	confirmatory	negative	A2ZVG7	PF00004.34	AAA
confirmatory::A2ZVG7	confirmatory	negative	A2ZVG7	PF01434.23	Peptidase_M41
confirmatory::A2ZVG7	confirmatory	negative	A2ZVG7	PF17862.6	AAA_lid_3
confirmatory::A3C4N5	confirmatory	negative	A3C4N5	PF00149.33	Metallophos
confirmatory::A3DBX3	confirmatory	negative	A3DBX3	PF00404.23	Dockerin_1
confirmatory::A3DBX3	confirmatory	negative	A3DBX3	PF00722.27	Glyco_hydro_16
confirmatory::A3DC29	confirmatory	negative	A3DC29	PF00404.23	Dockerin_1
confirmatory::A3DC29	confirmatory	negative	A3DC29	PF01270.22	Glyco_hydro_8
confirmatory::A3DCH1	confirmatory	negative	A3DCH1	PF00404.23	Dockerin_1
confirmatory::A3DCH1	confirmatory	negative	A3DCH1	PF00759.24	Glyco_hydro_9
confirmatory::A3DCH1	confirmatory	negative	A3DCH1	PF02018.22	CBM_4_9
confirmatory::A3DCH1	confirmatory	negative	A3DCH1	PF02927.19	CelD_N
confirmatory::A3DD66	confirmatory	negative	A3DD66	PF00404.23	Dockerin_1
confirmatory::A3DD66	confirmatory	negative	A3DD66	PF17652.6	Glyco_hydro81C
confirmatory::A3DDN1	confirmatory	negative	A3DDN1	PF00404.23	Dockerin_1
confirmatory::A3DDN1	confirmatory	negative	A3DDN1	PF00759.24	Glyco_hydro_9
confirmatory::A3DDN1	confirmatory	negative	A3DDN1	PF02927.19	CelD_N
confirmatory::A3DFA0	confirmatory	negative	A3DFA0	PF00404.23	Dockerin_1
confirmatory::A3DGF8	confirmatory	negative	A3DGF8	PF00449.25	Urease_alpha
confirmatory::A3DGF8	confirmatory	negative	A3DGF8	PF01979.25	Amidohydro_1
confirmatory::A3DGG0	confirmatory	negative	A3DGG0	PF00547.23	Urease_gamma
confirmatory::A3DH67	confirmatory	negative	A3DH67	PF00404.23	Dockerin_1
confirmatory::A3DH67	confirmatory	negative	A3DH67	PF02011.20	Glyco_hydro_48
confirmatory::A3M3F0	confirmatory	negative	A3M3F0	PF00547.23	Urease_gamma
confirmatory::A3MMV0	confirmatory	negative	A3MMV0	PF00547.23	Urease_gamma
confirmatory::A3MMV2	confirmatory	negative	A3MMV2	PF00449.25	Urease_alpha
confirmatory::A3MMV2	confirmatory	negative	A3MMV2	PF01979.25	Amidohydro_1
confirmatory::A3N2R4	confirmatory	negative	A3N2R4	PF00449.25	Urease_alpha
confirmatory::A3N2R4	confirmatory	negative	A3N2R4	PF01979.25	Amidohydro_1
confirmatory::A3N2R6	confirmatory	negative	A3N2R6	PF00547.23	Urease_gamma
confirmatory::A3NCL5	confirmatory	negative	A3NCL5	PF00547.23	Urease_gamma
confirmatory::A3NCL7	confirmatory	negative	A3NCL7	PF00449.25	Urease_alpha
confirmatory::A3NCL7	confirmatory	negative	A3NCL7	PF01979.25	Amidohydro_1
confirmatory::A3NYC7	confirmatory	negative	A3NYC7	PF00547.23	Urease_gamma
confirmatory::A3PCN9	confirmatory	negative	A3PCN9	PF00547.23	Urease_gamma
confirmatory::A3PCP1	confirmatory	negative	A3PCP1	PF00449.25	Urease_alpha
confirmatory::A3PCP1	confirmatory	negative	A3PCP1	PF01979.25	Amidohydro_1
confirmatory::A3PCP1	confirmatory	negative	A3PCP1	PF07969.16	Amidohydro_3
confirmatory::A3PL38	confirmatory	negative	A3PL38	PF00449.25	Urease_alpha
confirmatory::A3PL38	confirmatory	negative	A3PL38	PF01979.25	Amidohydro_1
confirmatory::A3PL42	confirmatory	negative	A3PL42	PF00547.23	Urease_gamma
confirmatory::A3Q0D5	confirmatory	negative	A3Q0D5	PF00449.25	Urease_alpha
confirmatory::A3Q0D5	confirmatory	negative	A3Q0D5	PF01979.25	Amidohydro_1
confirmatory::A3Q0D5	confirmatory	negative	A3Q0D5	PF07969.16	Amidohydro_3
confirmatory::A3Q0D7	confirmatory	negative	A3Q0D7	PF00547.23	Urease_gamma
confirmatory::A3UNN4	confirmatory	positive	A3UNN4	PF01129.23	ART
confirmatory::A3UNN4	confirmatory	positive	A3UNN4	PF03496.19	ADPrib_exo_Tox
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF00023.35	Ank
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF00023.35	Ank
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF00023.35	Ank
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF00023.35	Ank
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF00536.36	SAM_1
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF07647.23	SAM_2
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF12796.12	Ank_2
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF12796.12	Ank_2
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF13606.11	Ank_3
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF13606.11	Ank_3
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF13637.11	Ank_4
confirmatory::A4D7T3	confirmatory	negative	A4D7T3	PF13637.11	Ank_4
