pfam_identifier	protein_id
CL0016	confirmatory::Q9FJI4
CL0016	confirmatory::Q9LEA3
CL0016	confirmatory::Q9LSR8
CL0016	confirmatory::Q9LSS0
CL0016	confirmatory::Q9M020
CL0016	confirmatory::Q9M1Z9
CL0016	confirmatory::Q9M3D8
CL0016	confirmatory::Q9M3E5
CL0016	confirmatory::Q9ZW09
CL0016	discovery::Q9LSR9
CL0020	confirmatory::G5EBX9
CL0020	confirmatory::O14830
CL0020	confirmatory::O35385
CL0020	confirmatory::P32795
CL0020	confirmatory::P53041
CL0020	confirmatory::P53042
CL0020	confirmatory::P53043
CL0020	confirmatory::P9WPH9
CL0020	confirmatory::Q60676
CL0020	confirmatory::Q84K11
CL0020	confirmatory::Q84XU2
CL0020	confirmatory::Q9NES8
CL0021	confirmatory::E0J500
CL0021	confirmatory::O04019
CL0021	confirmatory::O17071
CL0021	confirmatory::O18413
CL0021	confirmatory::O50202
CL0021	confirmatory::O67327
CL0021	confirmatory::O75534
CL0021	confirmatory::O88685
CL0021	confirmatory::P0A1E0
CL0021	confirmatory::P0A968
CL0021	confirmatory::P0A976
CL0021	confirmatory::P0A977
CL0021	confirmatory::P0A982
CL0021	confirmatory::P0A983
CL0021	confirmatory::P0A985
CL0021	confirmatory::P0A9X9
CL0021	confirmatory::P0A9Y2
CL0021	confirmatory::P0A9Y3
CL0021	confirmatory::P0A9Y4
CL0021	confirmatory::P0A9Y5
CL0021	confirmatory::P0A9Y6
CL0021	confirmatory::P0A9Y7
CL0021	confirmatory::P0A9Y9
CL0021	confirmatory::P0A9Z0
CL0021	confirmatory::P0C0F0
CL0021	confirmatory::P0DV90
CL0021	confirmatory::P17980
CL0021	confirmatory::P18395
CL0021	confirmatory::P29174
CL0021	confirmatory::P33297
CL0021	confirmatory::P33298
CL0021	confirmatory::P35998
CL0021	confirmatory::P41018
CL0021	confirmatory::P41824
CL0021	confirmatory::P43686
CL0021	confirmatory::P46471
CL0021	confirmatory::P53549
CL0021	confirmatory::P54775
CL0021	confirmatory::P55390
CL0021	confirmatory::P57407
CL0021	confirmatory::P62191
CL0021	confirmatory::P62192
CL0021	confirmatory::P62193
CL0021	confirmatory::P62194
CL0021	confirmatory::P62196
CL0021	confirmatory::P62198
CL0021	confirmatory::P62333
CL0021	confirmatory::P62334
CL0021	confirmatory::P72191
CL0021	confirmatory::P81622
CL0021	confirmatory::P95459
CL0021	confirmatory::P9WQN5
CL0021	confirmatory::Q01939
CL0021	confirmatory::Q1RHK6
CL0021	confirmatory::Q44078
CL0021	confirmatory::Q44317
CL0021	confirmatory::Q45100
CL0021	confirmatory::Q45KJ4
CL0021	confirmatory::Q45KJ5
CL0021	confirmatory::Q45KJ6
CL0021	confirmatory::Q46664
CL0021	confirmatory::Q48493
CL0021	confirmatory::Q4UMU5
CL0021	confirmatory::Q52287
CL0021	confirmatory::Q53816
CL0021	confirmatory::Q53984
CL0021	confirmatory::Q56178
CL0021	confirmatory::Q56922
CL0021	confirmatory::Q58576
CL0021	confirmatory::Q5E9F9
CL0021	confirmatory::Q5EB47
CL0021	confirmatory::Q61CX7
CL0021	confirmatory::Q63347
CL0021	confirmatory::Q63430
CL0021	confirmatory::Q63570
CL0021	confirmatory::Q68W69
CL0021	confirmatory::Q6ZN17
CL0021	confirmatory::Q803L0
CL0021	confirmatory::Q83RI9
CL0021	confirmatory::Q8AVK2
CL0021	confirmatory::Q91W50
CL0021	confirmatory::Q91YQ3
CL0021	confirmatory::Q92GV1
CL0021	confirmatory::Q9C5U3
CL0021	confirmatory::Q9CR86
CL0021	confirmatory::Q9H9Z2
CL0021	confirmatory::Q9KN00
CL0021	confirmatory::Q9MAK9
CL0021	confirmatory::Q9SEI3
CL0021	confirmatory::Q9SL67
CL0021	confirmatory::Q9SZD4
CL0021	confirmatory::Q9VVA0
CL0021	confirmatory::Q9Y2V2
CL0021	confirmatory::Q9Y534
CL0021	confirmatory::Q9ZCP9
CL0021	discovery::P0A1D9
CL0021	discovery::P0A984
CL0021	discovery::P0A9Y0
CL0021	discovery::P0A9Y1
CL0021	discovery::P0A9Y8
CL0021	discovery::Q46051
CL0021	discovery::Q51929
CL0021	discovery::Q9SEI2
CL0022	confirmatory::Q6EMK4
CL0022	confirmatory::Q9CZT5
CL0023	confirmatory::A0A7N9VSG0
CL0023	confirmatory::A0A8I6AGW3
CL0023	confirmatory::A2VDN5
CL0023	confirmatory::A2ZVG7
CL0023	confirmatory::A6NMB9
CL0023	confirmatory::A7YSY2
CL0023	confirmatory::A8MPR5
CL0023	confirmatory::B2RYN7
CL0023	confirmatory::B3M301
CL0023	confirmatory::B3P8A3
CL0023	confirmatory::B4HGG6
CL0023	confirmatory::B4JII0
CL0023	confirmatory::B4K799
CL0023	confirmatory::B4M0H8
CL0023	confirmatory::B4NBP4
CL0023	confirmatory::B4PL32
CL0023	confirmatory::B4QSF0
CL0023	confirmatory::D0FH76
CL0023	confirmatory::D4A2B7
CL0023	confirmatory::D4GUJ7
CL0023	confirmatory::E9QEA3
CL0023	confirmatory::F3YDF1
CL0023	confirmatory::F4JEX5
CL0023	confirmatory::F4KF14
CL0023	confirmatory::J3QK54
CL0023	confirmatory::O04019
CL0023	confirmatory::O14003
CL0023	confirmatory::O15381
CL0023	confirmatory::O16299
CL0023	confirmatory::O16810
CL0023	confirmatory::O17071
CL0023	confirmatory::O18413
CL0023	confirmatory::O31147
CL0023	confirmatory::O43078
CL0023	confirmatory::O43086
CL0023	confirmatory::O44952
CL0023	confirmatory::O50202
CL0023	confirmatory::O60182
CL0023	confirmatory::O61577
CL0023	confirmatory::O64948
CL0023	confirmatory::O75351
CL0023	confirmatory::O75449
CL0023	confirmatory::O80860
CL0023	confirmatory::O80983
CL0023	confirmatory::O88685
CL0023	confirmatory::O88967
CL0023	confirmatory::O94449
CL0023	confirmatory::P03974
CL0023	confirmatory::P0A6H5
CL0023	confirmatory::P0A9M0
CL0023	confirmatory::P0AAI3
CL0023	confirmatory::P0AAZ4
CL0023	confirmatory::P10896
CL0023	confirmatory::P17980
CL0023	confirmatory::P18708
CL0023	confirmatory::P18759
CL0023	confirmatory::P25694
CL0023	confirmatory::P28737
CL0023	confirmatory::P32795
CL0023	confirmatory::P32839
CL0023	confirmatory::P33297
CL0023	confirmatory::P33298
CL0023	confirmatory::P33416
CL0023	confirmatory::P34808
CL0023	confirmatory::P35249
CL0023	confirmatory::P35250
CL0023	confirmatory::P35600
CL0023	confirmatory::P35998
CL0023	confirmatory::P37476
CL0023	confirmatory::P37945
CL0023	confirmatory::P38126
CL0023	confirmatory::P38442
CL0023	confirmatory::P38629
CL0023	confirmatory::P38630
CL0023	confirmatory::P39955
CL0023	confirmatory::P40151
CL0023	confirmatory::P40341
CL0023	confirmatory::P40348
CL0023	confirmatory::P41411
CL0023	confirmatory::P43686
CL0023	confirmatory::P46459
CL0023	confirmatory::P46460
CL0023	confirmatory::P46467
CL0023	confirmatory::P46471
CL0023	confirmatory::P49956
CL0023	confirmatory::P52917
CL0023	confirmatory::P53034
CL0023	confirmatory::P53549
CL0023	confirmatory::P54351
CL0023	confirmatory::P54609
CL0023	confirmatory::P54775
CL0023	confirmatory::P54777
CL0023	confirmatory::P54784
CL0023	confirmatory::P54789
CL0023	confirmatory::P54811
CL0023	confirmatory::P54812
CL0023	confirmatory::P62191
CL0023	confirmatory::P62192
CL0023	confirmatory::P62193
CL0023	confirmatory::P62194
CL0023	confirmatory::P62196
CL0023	confirmatory::P62198
CL0023	confirmatory::P62333
CL0023	confirmatory::P62334
CL0023	confirmatory::P93431
CL0023	confirmatory::P93655
CL0023	confirmatory::P9WPH9
CL0023	confirmatory::P9WQN3
CL0023	confirmatory::P9WQN5
CL0023	confirmatory::Q01853
CL0023	confirmatory::Q01939
CL0023	confirmatory::Q05AS3
CL0023	confirmatory::Q09803
CL0023	confirmatory::Q09843
CL0023	confirmatory::Q13415
CL0023	confirmatory::Q13608
CL0023	confirmatory::Q15645
CL0023	confirmatory::Q1PDW5
CL0023	confirmatory::Q20748
CL0023	confirmatory::Q298L4
CL0023	confirmatory::Q2KJI7
CL0023	confirmatory::Q39102
CL0023	confirmatory::Q3KRE0
CL0023	confirmatory::Q3MIB4
CL0023	confirmatory::Q3SX23
CL0023	confirmatory::Q3UA06
CL0023	confirmatory::Q3ULF4
CL0023	confirmatory::Q3ZBT1
CL0023	confirmatory::Q4R407
CL0023	confirmatory::Q505J9
CL0023	confirmatory::Q54316
CL0023	confirmatory::Q54KQ7
CL0023	confirmatory::Q55700
CL0023	confirmatory::Q58576
CL0023	confirmatory::Q59HJ6
CL0023	confirmatory::Q5AG40
CL0023	confirmatory::Q5E9F9
CL0023	confirmatory::Q5HY92
CL0023	confirmatory::Q5R658
CL0023	confirmatory::Q5RII9
CL0023	confirmatory::Q5SI82
CL0023	confirmatory::Q5SMU7
CL0023	confirmatory::Q5U3S1
CL0023	confirmatory::Q5XHZ9
CL0023	confirmatory::Q5XIK7
CL0023	confirmatory::Q5ZK92
CL0023	confirmatory::Q63347
CL0023	confirmatory::Q63570
CL0023	confirmatory::Q641W4
CL0023	confirmatory::Q67WJ2
CL0023	confirmatory::Q69UZ3
CL0023	confirmatory::Q6E0V2
CL0023	confirmatory::Q6EWX1
CL0023	confirmatory::Q6GL04
CL0023	confirmatory::Q6GX84
CL0023	confirmatory::Q6NW58
CL0023	confirmatory::Q6PIW4
CL0023	confirmatory::Q710E8
CL0023	confirmatory::Q719N1
CL0023	confirmatory::Q75JI3
CL0023	confirmatory::Q793F9
CL0023	confirmatory::Q7KN62
CL0023	confirmatory::Q7XK25
CL0023	confirmatory::Q7ZU99
CL0023	confirmatory::Q80Z32
CL0023	confirmatory::Q86WA8
CL0023	confirmatory::Q86XH1
CL0023	confirmatory::Q8BIW9
CL0023	confirmatory::Q8BPY9
CL0023	confirmatory::Q8CG07
CL0023	confirmatory::Q8CGK3
CL0023	confirmatory::Q8IYT4
CL0023	confirmatory::Q8JZQ2
CL0023	confirmatory::Q8K0T4
CL0023	confirmatory::Q8MNV0
CL0023	confirmatory::Q8NB90
CL0023	confirmatory::Q8NBU5
CL0023	confirmatory::Q8RY16
CL0023	confirmatory::Q8VEJ9
CL0023	confirmatory::Q8VZG2
CL0023	confirmatory::Q8W585
CL0023	confirmatory::Q8WVB6
CL0023	confirmatory::Q91XU0
CL0023	confirmatory::Q920A7
CL0023	confirmatory::Q925I1
CL0023	confirmatory::Q925S8
CL0023	confirmatory::Q93ZX1
CL0023	confirmatory::Q96S55
CL0023	confirmatory::Q96TA2
CL0023	confirmatory::Q99J62
CL0023	confirmatory::Q99LC9
CL0023	confirmatory::Q9BVQ7
CL0023	confirmatory::Q9BW62
CL0023	confirmatory::Q9C587
CL0023	confirmatory::Q9C5U3
CL0023	confirmatory::Q9CZP5
CL0023	confirmatory::Q9D3R6
CL0023	confirmatory::Q9D5T0
CL0023	confirmatory::Q9DBN5
CL0023	confirmatory::Q9FGM0
CL0023	confirmatory::Q9FH02
CL0023	confirmatory::Q9FIM2
CL0023	confirmatory::Q9FLD5
CL0023	confirmatory::Q9LZF6
CL0023	confirmatory::Q9M0Y8
CL0023	confirmatory::Q9M895
CL0023	confirmatory::Q9M9L7
CL0023	confirmatory::Q9M9L8
CL0023	confirmatory::Q9MAK9
CL0023	confirmatory::Q9N3T5
CL0023	confirmatory::Q9NAG4
CL0023	confirmatory::Q9NVI7
CL0023	confirmatory::Q9QUL6
CL0023	confirmatory::Q9QYY8
CL0023	confirmatory::Q9SAJ3
CL0023	confirmatory::Q9SCN8
CL0023	confirmatory::Q9SEI3
CL0023	confirmatory::Q9SEX2
CL0023	confirmatory::Q9SL67
CL0023	confirmatory::Q9SU24
CL0023	confirmatory::Q9SZD4
CL0023	confirmatory::Q9UBP0
CL0023	confirmatory::Q9UN37
CL0023	confirmatory::Q9UQ90
CL0023	confirmatory::Q9VQN8
CL0023	confirmatory::Q9WUK4
CL0023	confirmatory::Q9WV86
CL0023	confirmatory::Q9WZ49
CL0023	confirmatory::Q9Y276
CL0023	confirmatory::Q9Y4W6
CL0023	confirmatory::Q9Z1N2
CL0023	confirmatory::Q9ZNT0
CL0023	discovery::P46461
CL0023	discovery::Q3UMC0
CL0023	discovery::Q6AZT2
CL0023	discovery::Q9DBY8
CL0023	discovery::Q9SEI2
CL0028	confirmatory::A0A061B0Q2
CL0028	confirmatory::A0A075TXZ3
CL0028	confirmatory::A0A0D2H023
CL0028	confirmatory::A0A0E4AET8
CL0028	confirmatory::A0A0I9QGZ7
CL0028	confirmatory::A0A0I9RJ56
CL0028	confirmatory::A0A0U5CNN8
CL0028	confirmatory::A0A126P745
CL0028	confirmatory::A0A1E3P8S6
CL0028	confirmatory::A0A1E4S2P1
CL0028	confirmatory::A0A1E5RIW9
CL0028	confirmatory::A0A1E5RUL9
CL0028	confirmatory::A0A242M8J4
CL0028	confirmatory::A0A2Z4HPY5
CL0028	confirmatory::A0A336U965
CL0028	confirmatory::A0A443HK52
CL0028	confirmatory::A0A6F8RQ06
CL0028	confirmatory::A0KF11
CL0028	confirmatory::A1AGT6
CL0028	confirmatory::A1KP32
CL0028	confirmatory::A1TY14
CL0028	confirmatory::A1VUV0
CL0028	confirmatory::A4JIS1
CL0028	confirmatory::A5FIF5
CL0028	confirmatory::A5U815
CL0028	confirmatory::A7YN26
CL0028	confirmatory::B0SHJ0
CL0028	confirmatory::B1MFK2
CL0028	confirmatory::B1VF43
CL0028	confirmatory::B2HDS6
CL0028	confirmatory::B2I700
CL0028	confirmatory::B2I9H6
CL0028	confirmatory::B2JJW9
CL0028	confirmatory::B2JQW2
CL0028	confirmatory::B3PI89
CL0028	confirmatory::B3QM89
CL0028	confirmatory::B4F753
CL0028	confirmatory::B4SVL3
CL0028	confirmatory::B4TKT6
CL0028	confirmatory::B5BHG7
CL0028	confirmatory::B5F8M6
CL0028	confirmatory::B5FFE9
CL0028	confirmatory::B5FJT1
CL0028	confirmatory::B7J437
CL0028	confirmatory::B7NK06
CL0028	confirmatory::B7X2B6
CL0028	confirmatory::B8GZZ0
CL0028	confirmatory::B9LTF0
CL0028	confirmatory::C4XNQ9
CL0028	confirmatory::D0L1T6
CL0028	confirmatory::D2D3B6
CL0028	confirmatory::D2Z028
CL0028	confirmatory::D4ASH1
CL0028	confirmatory::D4B1N9
CL0028	confirmatory::D4Z2G1
CL0028	confirmatory::D6WMZ8
CL0028	confirmatory::F4QV02
CL0028	confirmatory::G0HQZ6
CL0028	confirmatory::G5EDL5
CL0028	confirmatory::H2KZ86
CL0028	confirmatory::H8L374
CL0028	confirmatory::I1RHF8
CL0028	confirmatory::I1RIF1
CL0028	confirmatory::I3R9Z4
CL0028	confirmatory::J3RZ81
CL0028	confirmatory::J9VIY8
CL0028	confirmatory::K0KPV8
CL0028	confirmatory::M0GNC6
CL0028	confirmatory::M0HG00
CL0028	confirmatory::O02218
CL0028	confirmatory::O07015
CL0028	confirmatory::O07732
CL0028	confirmatory::O16168
CL0028	confirmatory::O16169
CL0028	confirmatory::O16170
CL0028	confirmatory::O16172
CL0028	confirmatory::O16173
CL0028	confirmatory::O18391
CL0028	confirmatory::O22975
CL0028	confirmatory::O22977
CL0028	confirmatory::O31266
CL0028	confirmatory::O32449
CL0028	confirmatory::O46559
CL0028	confirmatory::O46647
CL0028	confirmatory::O52866
CL0028	confirmatory::O60062
CL0028	confirmatory::O68640
CL0028	confirmatory::O74430
CL0028	confirmatory::O88354
CL0028	confirmatory::O94493
CL0028	confirmatory::P02843
CL0028	confirmatory::P02844
CL0028	confirmatory::P06607
CL0028	confirmatory::P06857
CL0028	confirmatory::P07098
CL0028	confirmatory::P07099
CL0028	confirmatory::P07383
CL0028	confirmatory::P07867
CL0028	confirmatory::P08658
CL0028	confirmatory::P08910
CL0028	confirmatory::P0A3G2
CL0028	confirmatory::P0DO68
CL0028	confirmatory::P0DO69
CL0028	confirmatory::P0DUB8
CL0028	confirmatory::P0DUB9
CL0028	confirmatory::P0DXI6
CL0028	confirmatory::P10478
CL0028	confirmatory::P11150
CL0028	confirmatory::P11151
CL0028	confirmatory::P11152
CL0028	confirmatory::P11153
CL0028	confirmatory::P11602
CL0028	confirmatory::P12992
CL0028	confirmatory::P13001
CL0028	confirmatory::P15493
CL0028	confirmatory::P16854
CL0028	confirmatory::P17573
CL0028	confirmatory::P17892
CL0028	confirmatory::P18167
CL0028	confirmatory::P20261
CL0028	confirmatory::P21370
CL0028	confirmatory::P21837
CL0028	confirmatory::P22088
CL0028	confirmatory::P22394
CL0028	confirmatory::P22862
CL0028	confirmatory::P23974
CL0028	confirmatory::P25026
CL0028	confirmatory::P25725
CL0028	confirmatory::P25726
CL0028	confirmatory::P25727
CL0028	confirmatory::P26877
CL0028	confirmatory::P27587
CL0028	confirmatory::P27878
CL0028	confirmatory::P29183
CL0028	confirmatory::P29715
CL0028	confirmatory::P32750
CL0028	confirmatory::P32752
CL0028	confirmatory::P32753
CL0028	confirmatory::P32946
CL0028	confirmatory::P32947
CL0028	confirmatory::P32949
CL0028	confirmatory::P33912
CL0028	confirmatory::P34163
CL0028	confirmatory::P34914
CL0028	confirmatory::P38139
CL0028	confirmatory::P38295
CL0028	confirmatory::P38571
CL0028	confirmatory::P38796
CL0028	confirmatory::P45370
CL0028	confirmatory::P46541
CL0028	confirmatory::P46544
CL0028	confirmatory::P47229
CL0028	confirmatory::P47982
CL0028	confirmatory::P49060
CL0028	confirmatory::P49323
CL0028	confirmatory::P49923
CL0028	confirmatory::P50903
CL0028	confirmatory::P52279
CL0028	confirmatory::P52704
CL0028	confirmatory::P53208
CL0028	confirmatory::P53219
CL0028	confirmatory::P54315
CL0028	confirmatory::P54316
CL0028	confirmatory::P54317
CL0028	confirmatory::P54318
CL0028	confirmatory::P55031
CL0028	confirmatory::P57714
CL0028	confirmatory::P59336
CL0028	confirmatory::P73390
CL0028	confirmatory::P75895
CL0028	confirmatory::P77044
CL0028	confirmatory::P80035
CL0028	confirmatory::P80299
CL0028	confirmatory::P81139
CL0028	confirmatory::P81429
CL0028	confirmatory::P86325
CL0028	confirmatory::P93732
CL0028	confirmatory::P97535
CL0028	confirmatory::P9WHR2
CL0028	confirmatory::P9WHR3
CL0028	confirmatory::P9WNH4
CL0028	confirmatory::P9WNH5
CL0028	confirmatory::Q01470
CL0028	confirmatory::Q02891
CL0028	confirmatory::Q03649
CL0028	confirmatory::Q04456
CL0028	confirmatory::Q04457
CL0028	confirmatory::Q04623
CL0028	confirmatory::Q05487
CL0028	confirmatory::Q05AK6
CL0028	confirmatory::Q06000
CL0028	confirmatory::Q07646
CL0028	confirmatory::Q08662
CL0028	confirmatory::Q08DW9
CL0028	confirmatory::Q0E588
CL0028	confirmatory::Q0J0A4
CL0028	confirmatory::Q0TC55
CL0028	confirmatory::Q0V9K2
CL0028	confirmatory::Q0VC00
CL0028	confirmatory::Q12385
CL0028	confirmatory::Q17QP1
CL0028	confirmatory::Q1J115
CL0028	confirmatory::Q1JPD2
CL0028	confirmatory::Q1JU72
