protein_id	cluster_sha256
P0DM45	cd39db7a0385dc6f79393bacfe75421300925ddf5fdadc5fd700568cbf46893d
P0DN65	7349c6637d5e5f28f88c95a58d3b9928782b96792f1cc993661b5b5556c9d81c
P0DPE6	0a3dd00ac6d14d5e29be16afa882e6e9268d75cdb4a205724477b33d437e9948
P0DPG6	7b956f175e0a05efde2a102b334cd7bc0e42960056d10dd1fc731a9df7005c35
P0DPW2	b013accf38a859bbf07b7474421a91b18f55dfb09317bf689497984064a7e268
P0DPY2	f7fa0def0231f6ff3f0fd549204603792520a9a57650a116267503b85b047f8b
P0DPZ6	1ea420e0138da815a34509c03c07b68a038779b118920def4e97503bdfaa2c4e
P0DPZ8	425f18f8e2ab8db90c13c597dcf22cec8a5eee1a05b4b510a6c79201e2dbfa59
P0DQA3	841cf07ceab8151d94041c4f180d978efad7dae3e9503b446d87cad586690741
P0DQB3	bc74c677c7351343929847bc4e8e80d9eb92db682f0e0109aae73d3360b6a4d2
P0DQE7	3050e9ab2ae74611cd64a73236adac047ade2d3d2e9e7c9f192616a55a2d400d
P0DQF1	55eea3e1410137cfedcda88d40f7821f54a95ddf0a636c4c7d8a6fcdc5d2502a
P0DQG1	a5d4fdd8ec27f4cb22ac0b2dca11b45e1c98a80c65882db9d1d0d43254ea6d16
P0DQG5	38a1810ee481126b6210f359042f51d0f2f518e1000072b9122fe69d36bd836b
P0DQI9	d703074d34824cf3ce9f595b24d9f610bce4ace94143a9c6b34ead63d1e4095b
P0DQZ0	1b6f1680c7e09fb975aeb990a7321650d594ca49a2227a9a3e7d87ae16a4344c
P0DSL3	9a40028924d6e263f0ec480679677016637249a48da2856d70e4d384957240e9
P0DXX1	051466c79585f05b3471817866c4491f32a1764c62d1272a068da32460b2a42e
P0DXZ4	f9f6bb838b8db69cd333a75fd5806793bb235a7c2a47f6765836f3275cd7053f
P0DY41	5f6c60f4e11763012de54d08dc561c1593e6cde6b7381d34e48fff1fffcc8396
P16948	5ac9c4d0ffa497bb81a745cc5a11b55a5ffafd77bbdb3779b6b9082a64bb74ee
P19247	9b06646243f17408892916a183dac2101b1324113afc8f5e78bf823e16f71c74
P22244	7dc723093bc96e0525fb8b14a9191909a9a0a264da85891c947965db4917f08a
P23806	372d5475679c86aeee40940026a2c4472903362cad3fb61e433f5abd0bfe2ade
P33186	d367ec7df064aefc1949732287849bae0ae0b5d06a94c3d85fae8e7a109a196c
P39690	15f47d5aefce15ddac9affd64b40f5b9f4cd80e7090db30601d7a6edaf31b0b3
P54355	f7e940778cd5a0e236011a0cdd68505201ff41dd46ca522310081ca11ef37bb5
P69842	baa967c70ebe24705ace84faa7373d32d224368a633014a13c9a1015c2006baf
P83298	f8eeb2e5801b2bbd02f716b7d387d4012415cebf4f773af062f5b96254922468
P83323	fd417feb4f69c44496046ae907768dd5d4362bab97fade89e98811874c93414e
P84786	4b1a389f2375db7ab795cad9187f18278e8b49339bd04a7adef8edfc2fe3b450
P85006	4e98ff74a638a488a0142759dc5161102b36f03ab12d1c8dc096704733cf7f34
P85101	4b5d4151a7550593275335bb64821dd7d5201d12a68462a8f2eae92784f433a8
P86166	8f196da9bfbf3903c34509056031b3300fdcbd379642964327760f4082451b40
P86942	a76b20aae2d398293a913cbad35fdeb3541694a4764e1b953f1a7228ec1b1382
Q00531	83f84b06b54f0f48256ee45fe7e31a24c9431b87969785692da81ca3229fee36
Q04669	9d2f3fdb5fbc3215a71d25edb02d9582465eab5b848a37d099e6d04831e6b706
Q06B74	c4dc952bd09a3bcc409ef4554a0c912a26f19a52cc25dca1ec90fb67c83505b8
Q07338	d2932cf826f8ff8c76d46b31fe1a9f24e8fc4b99681b844881745cea9754cca7
Q2G1X0	eaa95436640c03b2431076c038e3d6927137f79cff63a88215f9d6ae489c743f
Q2XXP1	a424bc28cff4f6009afa5aa89e1795a83abae7c3e169b37bc37638c326f6f1ed
Q3C255	fd8e8d54bbff7a668ccc946c64d3559c47795981ea142f40e68bf7bb71f55cde
Q45744	9a175cedc4bc54b2398d5ec461cd8b031084309c685514826d707a1762c3ea0e
Q45755	85b09eef5d249eb5b143a1645b7082cad74f75bfac92855aed49a6fb37596b36
Q45758	0b62c1aad91f6fa00f7676671a335a49ca981277540ff36aafb3c18c1c3b7890
Q45UF1	69b97fcf9687ec7c5d5784a99cfbdb14e9b4e0ff873d7b6f86b5af8ded673753
Q4QXT9	0395c8838e3d00db467f45252f0bcedadfb77c4f4103cd100edd2c4f57bf5899
Q53I06	37f0b9dfa5b8347ead2a6be406b828f1f052bb478896f9f736cef2a78331b696
Q5F1N4	ea194c63f1a3996b48e03aba32fd41792c58835772719f7e812bbe9d53d5c64e
Q5QGZ2	cc16e9c80c4aaa9024f8bff999812f71b407b166e13a806d0dc0ca00a79e20f8
Q5WPU8	47f5e3418dcc7af0d14a0dc5ef60ac3d5908e42a30fa4e0faaf4f411f763b6b0
Q5WPZ4	45a80a072460fca87552b59789702d5ce1f133a873cd58feedd5529c9103e835
Q6GE13	030c532ccb09ab896d19139268d8f16152c61f71f548a23e2d1e1a90064889f1
Q6VPT6	f60ccfb3ef3b59cf36736d3ed3df4394dfe569e7e6959a624aed3dc1e9f90bee
Q70US9	1d5c99ac9ed126262b752ff466c0d46221351df00c363765293f492cfa1b0269
Q76CA2	cf1a85a3579fb6090788a96d444327ab551ae2c0f65208b3dd9026d76ec2d556
Q7M3V4	f3b1ce75372ac303148788e25bf181d384dbdc4831b71d6620f9c67d79e98cf4
Q7T3L1	d0b1e932749aa4cc3a319a5e6bbf7d74647538d62883bbdef0c746043b9d77bd
Q813X6	39a5f97aff7f4faa645418b702c37fabe5c9a1da13fc88f1c052ad7791d141a9
Q962V9	fcf966e7efe872215c1452f436f30b16bac85753be80e9c04a5bd50e12df1c65
Q964Q0	705d81a1f5d6092a78ab9577d04940fdb5d849a430bb694350af32ba53101bcd
Q9S597	317ead6ab5a43503d151e59d0b19758b2a8f8a88ec7518e9df9e6b55e878b5ad
Q9UB30	c3e39ea04d3f1301578e8610dd7532b4970248e486851f622f9cadc914221aa4
Q9X5C7	36e5e203b97e03bdbc51b179b0c2b271033f85d4662ebaeef3699ae75bc39b6d
Q9Y0X6	47cc78da078294572ef1110178a5e67fc0dfda9dec133c2e7abc31ba7c481f89
Q9ZIU5	66162aa3fa4efb23365082fcd4a63e0f692903e2aedce81cfd5f017fdf66b408
T1PQV6	826136a53c6f1e09f2623b50c0b9c4ddfb5840be30e2a3f64449b63ce9f02fda
U6BLN5	47cc703914ec2d36bb075d5c119b3927c9fe916b1ac93a6b51a6b2792c8e726b
