class_name	protein_id	pfam_accession	model_name
negative	P00782	PF22148	Fervidolysin_NPro-like
negative	P01085	PF00234	Tryp_alpha_amyl
negative	P01223	PF00007	Cys_knot
negative	P01321	PF00049	Insulin
negative	P01336	PF00049	Insulin
negative	P01336	PF03488	Ins_beta
negative	P02869	PF00139	Lectin_legB
negative	P05637	PF00149	Metallophos
negative	P06768	PF00061	Lipocalin
negative	P06768	PF14651	Lipocalin_7
negative	P06884	PF00159	Hormone_3
negative	P07440	PF00139	Lectin_legB
negative	P07444	PF00139	Lectin_legB
negative	P07597	PF00234	Tryp_alpha_amyl
negative	P07597	PF14368	LTP_2
negative	P0A1D9	PF00313	CSD
negative	P0A984	PF00313	CSD
negative	P0A9Y0	PF00313	CSD
negative	P0A9Y1	PF00313	CSD
negative	P0A9Y8	PF00313	CSD
negative	P0C0T2	PF00023	Ank
negative	P0C0T2	PF00536	SAM_1
negative	P0C0T2	PF07647	SAM_2
negative	P0C0T2	PF12796	Ank_2
negative	P0C0T2	PF13606	Ank_3
negative	P0C0T2	PF13637	Ank_4
negative	P11218	PF00182	Glyco_hydro_19
negative	P11218	PF00187	Chitin_bind_1
negative	P11968	PF00299	Squash
negative	P12071	PF00299	Squash
negative	P12703	PF00049	Insulin
negative	P12703	PF03488	Ins_beta
negative	P13083	PF00159	Hormone_3
negative	P14369	PF00079	Serpin
negative	P14841	PF00031	Cystatin
negative	P15427	PF00159	Hormone_3
negative	P16218	PF00150	Cellulase
negative	P16218	PF00404	Dockerin_1
negative	P16218	PF02156	Glyco_hydro_26
negative	P16218	PF03425	CBM_11
negative	P16218	PF08547	CIA30
negative	P16519	PF00082	Peptidase_S8
negative	P16519	PF01483	P_proprotein
negative	P16519	PF16470	S8_pro-domain
negative	P16850	PF00234	Tryp_alpha_amyl
negative	P17405	PF00149	Metallophos
negative	P17405	PF19272	ASMase_C
negative	P18108	PF00123	Hormone_2
negative	P18427	PF00007	Cys_knot
negative	P21352	PF00061	Lipocalin
negative	P22935	PF00061	Lipocalin
negative	P22935	PF14651	Lipocalin_7
negative	P25417	PF00031	Cystatin
negative	P29121	PF00082	Peptidase_S8
negative	P29121	PF01483	P_proprotein
negative	P29121	PF16470	S8_pro-domain
negative	P29206	PF00159	Hormone_3
negative	P29794	PF00123	Hormone_2
negative	P32751	PF00135	COesterase
negative	P32751	PF07859	Abhydrolase_3
negative	P32751	PF20434	BD-FAE
negative	P34960	PF00045	Hemopexin
negative	P34960	PF00413	Peptidase_M10
negative	P34960	PF01471	PG_binding_1
negative	P35478	PF00031	Cystatin
negative	P35792	PF00188	CAP
negative	P37999	PF00159	Hormone_3
negative	P41336	PF00159	Hormone_3
negative	P42992	PF00220	Hormone_4
negative	P46461	PF00004	AAA
negative	P46461	PF02359	CDC48_N
negative	P46461	PF17862	AAA_lid_3
negative	P46461	PF21964	NSF_ATPase_lid
negative	P50120	PF00061	Lipocalin
negative	P50120	PF14651	Lipocalin_7
negative	P51480	PF00023	Ank
negative	P51480	PF12796	Ank_2
negative	P51909	PF00061	Lipocalin
negative	P51909	PF03973	Triabin
negative	P51909	PF08212	Lipocalin_2
negative	P52278	PF00561	Abhydrolase_1
negative	P52278	PF12146	Hydrolase_4
negative	P52278	PF12697	Abhydrolase_6
negative	P53264	PF00561	Abhydrolase_1
negative	P53264	PF12146	Hydrolase_4
negative	P53264	PF12697	Abhydrolase_6
negative	P55798	PF00149	Metallophos
negative	P68952	PF00123	Hormone_2
negative	P68953	PF00123	Hormone_2
negative	P69044	PF00220	Hormone_4
negative	P69046	PF00049	Insulin
negative	P69046	PF03488	Ins_beta
negative	P80071	PF00007	Cys_knot
negative	P83395	PF00299	Squash
negative	P83396	PF00299	Squash
negative	P84452	PF00299	Squash
negative	P94669	PF00449	Urease_alpha
negative	P94669	PF01979	Amidohydro_1
negative	P98089	PF00007	Cys_knot
negative	P98089	PF00094	VWD
negative	P98089	PF08742	C8
negative	P98105	PF00008	EGF
negative	P98105	PF00059	Lectin_C
negative	P98105	PF00084	Sushi
negative	P98153	PF00057	Ldl_recept_a
negative	P98153	PF00059	Lectin_C
negative	Q02157	PF00151	Lipase
negative	Q02157	PF01477	PLAT
negative	Q05968	PF00188	CAP
negative	Q09023	PF00182	Glyco_hydro_19
negative	Q09023	PF00187	Chitin_bind_1
negative	Q0JF21	PF00187	Chitin_bind_1
negative	Q0RQS0	PF00449	Urease_alpha
negative	Q0RQS0	PF01979	Amidohydro_1
negative	Q0RQS0	PF07969	Amidohydro_3
negative	Q13QH4	PF00561	Abhydrolase_1
negative	Q13QH4	PF12146	Hydrolase_4
negative	Q13QH4	PF12697	Abhydrolase_6
negative	Q17192	PF00049	Insulin
negative	Q1X703	PF00243	NGF
negative	Q27884	PF00149	Metallophos
negative	Q2IBF5	PF00023	Ank
negative	Q2IBF5	PF00536	SAM_1
negative	Q2IBF5	PF07647	SAM_2
negative	Q2IBF5	PF12796	Ank_2
negative	Q2IBF5	PF13606	Ank_3
negative	Q2IBF5	PF13637	Ank_4
negative	Q2IBF5	PF13857	Ank_5
negative	Q3HRV3	PF00007	Cys_knot
negative	Q3U435	PF00045	Hemopexin
negative	Q3U435	PF00413	Peptidase_M10
negative	Q3U435	PF01471	PG_binding_1
negative	Q3UMC0	PF00004	AAA
negative	Q3UMC0	PF05496	RuvB_N
negative	Q3UMC0	PF17862	AAA_lid_3
negative	Q46051	PF00313	CSD
negative	Q46051	PF08206	OB_RNB
negative	Q51929	PF00313	CSD
negative	Q5MAU8	PF00149	Metallophos
negative	Q5MAU8	PF14008	Metallophos_C
negative	Q5MAU8	PF16656	Pur_ac_phosph_N
negative	Q5MAU8	PF17808	fn3_PAP
negative	Q5XI64	PF00561	Abhydrolase_1
negative	Q5XI64	PF03096	Ndr
negative	Q5XI64	PF12146	Hydrolase_4
negative	Q5XI64	PF12697	Abhydrolase_6
negative	Q5XK91	PF00147	Fibrinogen_C
negative	Q5Z1C4	PF00561	Abhydrolase_1
negative	Q60651	PF00059	Lectin_C
negative	Q60651	PF08391	Ly49
negative	Q60652	PF00059	Lectin_C
negative	Q60652	PF08391	Ly49
negative	Q61216	PF00149	Metallophos
negative	Q61216	PF04152	Mre11_DNA_bind
negative	Q6AZT2	PF00004	AAA
negative	Q6AZT2	PF09336	Vps4_C
negative	Q6AZT2	PF17862	AAA_lid_3
negative	Q6RX08	PF00023	Ank
negative	Q6RX08	PF00520	Ion_trans
negative	Q6RX08	PF12796	Ank_2
negative	Q6RX08	PF13606	Ank_3
negative	Q6T499	PF00061	Lipocalin
negative	Q6T499	PF14651	Lipocalin_7
negative	Q733J4	PF00547	Urease_gamma
negative	Q7X7E6	PF00234	Tryp_alpha_amyl
negative	Q805E8	PF00212	ANP
negative	Q8F4I0	PF00561	Abhydrolase_1
negative	Q8IV16	PF00021	UPAR_LY6
negative	Q8QFV1	PF00090	TSP_1
negative	Q8QFV1	PF03782	AMOP
negative	Q8WMX6	PF00023	Ank
negative	Q8WMX6	PF00536	SAM_1
negative	Q8WMX6	PF07647	SAM_2
negative	Q8WMX6	PF12796	Ank_2
negative	Q8WMX6	PF13606	Ank_3
negative	Q8WMX6	PF13637	Ank_4
negative	Q8WMX6	PF13857	Ank_5
negative	Q8XXT1	PF00449	Urease_alpha
negative	Q8XXT1	PF01979	Amidohydro_1
negative	Q91121	PF00007	Cys_knot
negative	Q93T81	PF00449	Urease_alpha
negative	Q93T81	PF01979	Amidohydro_1
negative	Q93WP4	PF00149	Metallophos
negative	Q93WP4	PF14008	Metallophos_C
negative	Q93WP4	PF16656	Pur_ac_phosph_N
negative	Q9DBY8	PF00004	AAA
negative	Q9DBY8	PF05496	RuvB_N
negative	Q9DBY8	PF07728	AAA_5
negative	Q9DBY8	PF16725	Nucleolin_bd
negative	Q9DBY8	PF17862	AAA_lid_3
negative	Q9EPB5	PF00561	Abhydrolase_1
negative	Q9EPB5	PF12146	Hydrolase_4
negative	Q9EPB5	PF12697	Abhydrolase_6
negative	Q9LNN2	PF00139	Lectin_legB
negative	Q9LSR9	PF00069	Pkinase
negative	Q9LSR9	PF00139	Lectin_legB
negative	Q9LSR9	PF07714	PK_Tyr_Ser-Thr
negative	Q9PW99	PF00007	Cys_knot
negative	Q9RYL9	PF00207	A2M
negative	Q9RYL9	PF01835	MG2
negative	Q9RYL9	PF07703	A2M_BRD
negative	Q9SCZ0	PF00234	Tryp_alpha_amyl
negative	Q9SCZ0	PF14368	LTP_2
negative	Q9SEI2	PF00004	AAA
negative	Q9SEI2	PF07728	AAA_5
negative	Q9SEI2	PF16450	Prot_ATP_ID_OB_C
negative	Q9SEI2	PF17862	AAA_lid_3
negative	Q9SEI2	PF20720	nSTAND3
negative	Q9SZY3	PF00082	Peptidase_S8
negative	Q9SZY3	PF02225	PA
negative	Q9SZY3	PF05922	Inhibitor_I9
negative	Q9SZY3	PF17766	fn3_6
negative	Q9SZY3	PF21864	MORF_dom
negative	Q9UBN4	PF00023	Ank
negative	Q9UBN4	PF00520	Ion_trans
negative	Q9UBN4	PF08344	TRP_2
negative	Q9UBN4	PF12796	Ank_2
negative	Q9VT52	PF00049	Insulin
negative	Q9WVF9	PF00059	Lectin_C
negative	Q9XSM3	PF00023	Ank
negative	Q9XSM3	PF00520	Ion_trans
negative	Q9XSM3	PF12796	Ank_2
negative	Q9XSM3	PF13606	Ank_3
negative	Q9XSM3	PF13637	Ank_4
negative	Q9XT90	PF00045	Hemopexin
negative	Q9XT90	PF00413	Peptidase_M10
negative	Q9XT90	PF01471	PG_binding_1
negative	Q9XT90	PF11857	DUF3377
negative	Q9XZE5	PF00149	Metallophos
positive	A0A068B409	PF07365	Toxin_8
positive	A0A1Q1NL17	PF00014	Kunitz_BPTI
positive	A0A1S4HE90	PF01395	PBP_GOBP
positive	A0A834R821	PF00079	Serpin
positive	A0A8B6XDS4	PF06369	Anemone_cytotox
positive	A7SXG9	PF01549	ShK
positive	A8YPR6	PF00212	ANP
positive	B0X6Z1	PF01395	PBP_GOBP
positive	B5AJT2	PF01421	Reprolysin
positive	B5AJT2	PF13582	Reprolysin_3
positive	B5AJT2	PF13583	Reprolysin_4
positive	B5AJT2	PF13688	Reprolysin_5
positive	B5U2W0	PF00089	Trypsin
positive	B5U2W0	PF12032	CLIP
positive	C1IBY0	PF00089	Trypsin
positive	C1IBY2	PF00188	CAP
positive	D1MWE7	PF02087	Nitrophorin
positive	D1MWE7	PF03973	Triabin
positive	D2CFI7	PF15430	SVWC
positive	G3CJS0	PF03973	Triabin
positive	H2CYP1	PF15430	SVWC
positive	I6VXS1	PF00014	Kunitz_BPTI
positive	M1JMQ7	PF01395	PBP_GOBP
positive	O87906	PF00555	Endotoxin_M
positive	O87906	PF03944	Endotoxin_C
positive	O87906	PF03945	Endotoxin_N
positive	P01552	PF01123	Stap_Strp_toxin
positive	P01552	PF02876	Stap_Strp_tox_C
positive	P06886	PF02876	Stap_Strp_tox_C
positive	P09332	PF00089	Trypsin
positive	P09332	PF13365	Trypsin_2
positive	P09545	PF07968	Leukocidin
positive	P09545	PF12563	Hemolysin_N
positive	P09545	PF16458	Beta-prism_lec
positive	P0C255	PF17557	Conotoxin_I2
positive	P0CH47	PF00151	Lipase
positive	P0DQG5	PF15430	SVWC
positive	P0DY41	PF01549	ShK
positive	P19247	PF00652	Ricin_B_lectin
positive	P19247	PF07968	Leukocidin
positive	P22244	PF00161	RIP
positive	P23806	PF00059	Lectin_C
positive	P33186	PF00161	RIP
positive	P54355	PF00413	Peptidase_M10
positive	P54355	PF13582	Reprolysin_3
positive	P54355	PF13583	Reprolysin_4
positive	P54355	PF13688	Reprolysin_5
positive	P54355	PF16376	fragilysinNterm
positive	P83298	PF00089	Trypsin
positive	P84786	PF00161	RIP
positive	P85101	PF00161	RIP
positive	Q00531	PF00161	RIP
positive	Q00531	PF20241	DUF6598
positive	Q06B74	PF00079	Serpin
positive	Q2G1X0	PF07968	Leukocidin
positive	Q2XXP1	PF00188	CAP
positive	Q2XXP1	PF08562	Crisp
positive	Q45744	PF00555	Endotoxin_M
positive	Q45744	PF03944	Endotoxin_C
positive	Q45744	PF03945	Endotoxin_N
positive	Q45755	PF00555	Endotoxin_M
positive	Q45755	PF03944	Endotoxin_C
positive	Q45755	PF03945	Endotoxin_N
positive	Q4QXT9	PF00008	EGF
positive	Q4QXT9	PF00089	Trypsin
positive	Q4QXT9	PF00594	Gla
positive	Q4QXT9	PF09342	DUF1986
positive	Q4QXT9	PF14670	FXa_inhibition
positive	Q53I06	PF01097	Defensin_2
positive	Q6GE13	PF07968	Leukocidin
positive	Q6VPT6	PF00089	Trypsin
positive	Q70US9	PF00161	RIP
positive	Q70US9	PF00652	Ricin_B_lectin
positive	Q70US9	PF14200	RicinB_lectin_2
positive	Q7T3L1	PF06753	Bradykinin
positive	Q813X6	PF04740	LXG
positive	Q813X6	PF14436	EndoU_bacteria
positive	Q962V9	PF00188	CAP
positive	Q964Q0	PF00014	Kunitz_BPTI
positive	Q9S597	PF00555	Endotoxin_M
positive	Q9S597	PF03944	Endotoxin_C
positive	Q9S597	PF03945	Endotoxin_N
positive	Q9UB30	PF01395	PBP_GOBP
positive	Q9X5C7	PF01123	Stap_Strp_toxin
positive	Q9X5C7	PF02876	Stap_Strp_tox_C
positive	Q9ZIU5	PF03945	Endotoxin_N
positive	U6BLN5	PF01421	Reprolysin
positive	U6BLN5	PF13582	Reprolysin_3
positive	U6BLN5	PF13583	Reprolysin_4
positive	U6BLN5	PF13688	Reprolysin_5
