protein_id	group_identifiers
Q9SEI2	CL0021;CL0023;CL0671
Q9SZY3	CL0159;CL0364;CL0570;PF00082
Q9UB30	CL0803
Q9UBN4	CL0030;CL0465;PF08344
Q9VT52	CL0239
Q9WVF9	CL0056
Q9X5C7	CL0072;CL0658
Q9XSM3	CL0030;CL0465
Q9XT90	CL0126;CL0244;PF00045;PF11857
Q9XZE5	CL0163
Q9Y0X6	
Q9ZIU5	PF03945
T1PQV6	
U6BLN5	CL0126
